MZ,intensity
5814.5,39.107
5817,35.615
5819.5,29.287
5822.1,25.952
5824.6,20.256
5827.1,15.35
5829.6,21.361
5832.1,20.182
5834.6,8.4239
5837.1,11.962
5839.6,14.73
5842.1,7.7897
5844.6,11.673
5847.1,11.669
5849.6,10.834
5852.1,9.8994
5854.6,10.118
5857.1,7.6806
5859.6,8.0258
5862.2,5.7002
5864.7,6.3407
5867.2,6.7667
5869.7,0.45028
5872.2,4.6985
5874.7,7.0885
5877.2,-1.7847
5879.7,0.62874
5882.2,8.0761
5884.7,6.94
5887.2,-1.5797
5889.7,13.783
5892.2,10.444
5894.7,10.946
5897.2,9.0417
5899.7,11.636
5902.3,10.973
5904.8,7.102
5907.3,8.5891
5909.8,6.1818
5912.3,3.4297
5914.8,6.4549
5917.3,2.8818
5919.8,1.2587
5922.3,6.3097
5924.8,2.5501
5927.3,5.0514
5929.8,-0.13024
5932.3,4.7763
5934.8,2.0458
5937.3,2.7497
5939.8,5.7211
5942.4,2.2649
5944.9,5.3259
5947.4,7.0033
5949.9,-4.7036
5952.4,-0.44694
5954.9,3.6942
5957.4,1.4462
5959.9,2.7806
5962.4,-6.4244
5964.9,4.2205
5967.4,3.8424
5969.9,5.1161
5972.4,4.9693
5974.9,0.15335
5977.4,-3.0106
5979.9,1.7099
5982.5,0.82174
5985,4.2011
5987.5,-1.861
5990,2.5885
5992.5,2.4924
5995,3.6854
5997.5,3.8626
6000,-2.8528
